ticker,permno,date,comnam,rtype,ptype,psub,caldt,ym,usdret,usdprc,market_equity,assets,sales,net_income,book_equity,debt_at,cash_at,ocf_at,roe,btm,beta,quarter,MORTGAGE30US
SUI,80102,2010-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2010-12-31,2010m12,0.0051,33.31,652.8427,1167.424,259.066,-6.126,,1.0718616,0.004812305,0.048715804,0.0601112181535497,,1.4454740814179774,2010Q4,
SUI,80102,2011-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2011-03-31,2011m3,0.0309,35.65,742.58954,1164.062,261.168,-5.336,,1.079555,0.00404274,0.048842758,0.0601112181535497,,1.4586847652438963,2011Q1,
SUI,80102,2011-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2011-06-30,2011m6,-0.0635,37.31,792.3525,1162.691,261.994,-2.883,,1.0820923,0.007241821,0.05084842,0.0240444359190345,,1.474989429462612,2011Q2,
SUI,80102,2011-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2011-07-29,2011m7,0.0426,38.27,822.88153,1160.075,268.172,-1.82,,1.0653234,0.0041867984,0.050812233,0.0240444359190345,,1.4711662843856996,2011Q3,
SUI,80102,2011-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2011-12-30,2011m12,0.0397,36.53,792.81055,1322.795,271.301,-0.261,,1.0152057,0.0030291919,0.044089977,0.0240444359190345,,1.404366677089404,2011Q4,
SUI,80102,2012-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2012-03-30,2012m3,0.0469,43.33,1146.7719,1328.623,281.834,0.769,,1.0209556,0.0035683562,0.047752447,0.0240444359190345,,1.3907902963439969,2012Q1,
SUI,80102,2012-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2012-04-30,2012m4,0.0242,43.75,1157.9313,1367.974,291.285,-1.086,,1.0213827,0.0042815143,0.04643436,0.0240444359190345,,1.395066896277895,2012Q2,
SUI,80102,2012-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2012-09-28,2012m9,-0.0369,44.12,1311.864,1408.016,304.888,1.891,20.266,0.9187076,0.011345752,0.048228145,0.0085775892709049,0.0154482482541488,1.370145844448373,2012Q3,
SUI,80102,2012-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2012-11-30,2012m11,-0.0805,38.6,1147.7323,1412.319,319.899,4.444,5.78,0.9281097,0.003185541,0.054061443,0.0085775892709049,0.0050360173989239,1.3393881831626293,2012Q4,
SUI,80102,2013-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2013-01-31,2013m1,0.0767,42.95,1277.0753,1501.226,328.344,4.167,130.249,0.847081,0.025794918,0.050018452,0.0085775892709049,0.1019900590596869,1.3216623896553887,2013Q1,
SUI,80102,2013-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2013-04-30,2013m4,0.0369,51.15,1834.3925,1754.117,343.516,5.984,192.488,0.8286226,0.016822139,0.049740694,0.0085775892709049,0.1049328355800609,1.3380913706233768,2013Q2,
SUI,80102,2013-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2013-09-30,2013m9,0.0065,42.62,1538.923,1913.8,362.497,7.865,439.122,0.709061,0.031897273,0.049029157,0.031087652217281,0.2853437403595315,1.4066319837966668,2013Q3,
SUI,80102,2013-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2013-11-29,2013m11,-0.0846,40.8,1474.512,1916.768,378.975,8.751,418.667,0.7156709,0.0033848644,0.054365996,0.031087652217281,0.283935968094868,1.4095661553136154,2013Q4,
SUI,80102,2014-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2014-01-31,2014m1,0.0964,46.75,1689.545,1936.691,403.258,14.664,401.335,0.7271232,0.0025584877,0.063846014,0.031087652217281,0.2375402794569414,1.3535096028173483,2014Q1,
SUI,80102,2014-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2014-06-30,2014m6,0.0428,49.84,2044.5863,1999.236,417.472,16.666,380.473,0.7466952,0.007079204,0.057363413,0.0438033710670665,0.1860880012679138,1.1388424739019252,2014Q2,
SUI,80102,2014-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2014-09-30,2014m9,-0.0462,50.5,2379.055,2108.232,427.659,18.768,551.039,0.67584306,0.004413651,0.06248079,0.0438033710670665,0.2316209593577465,0.9753545553515564,2014Q3,
